,info
409,OneRepublic-Wherever I Go-2016
118,Owl City-Good Time-2012
138,P!nk-Blow Me (One Last Kiss)-2012
142,P!nk-Just Give Me a Reason (feat. Nate Ruess)-2013
399,"P!nk-Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")-2016"
98,P!nk-Raise Your Glass-2011
115,P!nk-Try-2012
556,P!nk-What About Us-2018
306,Paloma Faith-Only Love Can Hurt Like This-2015
436,Passenger-Beautiful Birds (feat. Birdy)-2016
220,Passenger-Let Her Go-2014
251,Pharrell Williams-Come Get It Bae-2014
213,"Pharrell Williams-Happy - From ""Despicable Me 2""-2014"
350,"Pitbull-Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")-2015"
134,Pitbull-Don't Stop the Party (feat. TJR)-2012
166,Pitbull-Feel This Moment (feat. Christina Aguilera)-2013
317,Pitbull-Fireball (feat. John Ryan)-2015
53,Pitbull-Give Me Everything-2011
500,Pitbull-Greenlight (feat. Flo Rida & LunchMoney Lewis)-2017
121,Pitbull-International Love-2012
503,Pitbull-Messin' Around-2017
208,Pitbull-Outta Nowhere (feat. Danny Mercer)-2013
354,Pitbull-Time of Our Lives-2015
254,Pitbull-We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song]-2014
687,Polo G-RAPSTAR-2021
615,Post Malone-Circles-2020
640,Post Malone-Sunflower - Spider-Man: Into the Spider-Verse-2020
610,Powfu-death bed (coffee for your head)-2020
591,R3HAB-All Around The World (La La La)-2019
671,Rauw Alejandro-Todo De Ti-2021
568,RedOne-Boom Boom-2018
642,Regard-Ride It-2020
356,Ricky Martin-Mr. Put It Down-2015
332,Rihanna-American Oxygen-2015
91,Rihanna-Cheers (Drink To That)-2011
133,Rihanna-Diamonds-2012
276,Rihanna-FourFiveSeconds-2015
42,Rihanna-Hard-2010
520,Rihanna-Love On The Brain-2018
371,Rihanna-Needed Me-2016
9,Rihanna-Only Girl (In The World)-2010
205,Rihanna-Right Now - Dyro Radio Edit-2013
92,Rihanna-S&M Remix-2011
85,Rihanna-We Found Love-2011
72,Rihanna-What's My Name?-2011
126,Rihanna-Where Have You Been-2012
377,Rihanna-Work-2016
135,Rihanna-You Da One-2012
540,Rita Ora-Anywhere-2018
561,"Rita Ora-Girls (feat. Cardi B, Bebe Rexha & Charli XCX)-2018"
677,Riton-Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit-2021
484,Robin Schulz-OK - Spotify Version-2017
336,Robin Schulz-Sugar (feat. Francesco Yates)-2015
150,Robin Thicke-Blurred Lines-2013
206,Robin Thicke-Give It 2 U-2013
605,Roddy Ricch-The Box-2020
331,Rudimental-Lay It All on Me-2015
525,Rudimental-These Days-2018
606,SAINt JHN-Roses - Imanbek Remix-2020
578,SHAED-Trampoline (with ZAYN)-2019
697,SZA-Good Days-2021
576,Sam Smith-How Do You Sleep?-2019
269,Sam Smith-I'm Not The Only One-2015
211,Sam Smith-Stay With Me-2014
164,Sara Bareilles-Brave-2013
16,Sean Kingston-Eenie Meenie-2010
702,Sebastian Yatra-Pareja Del Año-2021
111,Selena Gomez & The Scene-Love You Like A Love Song-2012
26,Selena Gomez & The Scene-Naturally-2010
539,Selena Gomez-Bad Liar-2018
189,Selena Gomez-Come & Get It-2013
397,Selena Gomez-Hands To Myself-2016
401,Selena Gomez-Kill Em With Kindness-2016
573,Selena Gomez-Lose You To Love Me-2019
311,Selena Gomez-Same Old Love-2015
298,Selena Gomez-The Heart Wants What It Wants-2015
516,Selena Gomez-Wolves-2018
247,Shakira-Can't Remember to Forget You (feat. Rihanna)-2014
259,Shakira-La La La (Brasil 2014) (feat. Carlinhos Brown)-2014
43,Shakira-Loca-2010
411,Shawn Mendes-Don't Be A Fool-2016
421,Shawn Mendes-I Know What You Did Last Summer-2016
515,Shawn Mendes-In My Blood-2018
450,Shawn Mendes-Mercy-2017
547,Shawn Mendes-Nervous-2018
575,Shawn Mendes-Señorita-2019
628,Shawn Mendes-Señorita-2020
280,Shawn Mendes-Stitches-2015
378,Shawn Mendes-Stitches-2016
512,Shawn Mendes-There's Nothing Holdin' Me Back-2018
446,Shawn Mendes-Treat You Better-2017
538,Shawn Mendes-Youth (feat. Khalid)-2018
335,Sia-Alive-2015
